rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins,polarization
movement_pushrequirement,MOVE_1_EVEN,movement: MOVE_1 + pushrequirement: EVEN,0.4821428571428571,336.0,162.0,0.017857142857142905
pushout_pushrequirement,CENTER_IF_FREE_MORE_OR_EQUAL,pushout: CENTER_IF_FREE + pushrequirement: MORE_OR_EQUAL,0.4823529411764706,510.0,246.0,0.017647058823529405
pushout_victory,OUT_IS_GONE_ANY_THREE,pushout: OUT_IS_GONE + victory: ANY_THREE,0.5176151761517616,738.0,382.0,0.017615176151761558
pushrequirement_victory,EVEN_PUSH_OUT,pushrequirement: EVEN + victory: PUSH_OUT,0.5174129353233831,402.0,208.0,0.01741293532338306
pushrequirement_victory,MORE_OR_EQUAL_ANY_THREE,pushrequirement: MORE_OR_EQUAL + victory: ANY_THREE,0.5163934426229508,366.0,189.0,0.016393442622950838
movement_push,LEAPFROG_PUSH_1,movement: LEAPFROG + push: PUSH_1,0.4838145231846019,2286.0,1106.0,0.016185476815398114
movement,LEAPFROG,movement: LEAPFROG,0.4838145231846019,2286.0,1106.0,0.016185476815398114
movement_victory,MOVE_EXACTLY_2_ANY_THREE,movement: MOVE_EXACTLY_2 + victory: ANY_THREE,0.5156695156695157,702.0,362.0,0.015669515669515688
movement_pushout,MOVE_2_CENTER_IF_FREE,movement: MOVE_2 + pushout: CENTER_IF_FREE,0.4847417840375587,852.0,413.0,0.015258215962441313
pushout_pushrequirement,OUT_IS_GONE_EVEN,pushout: OUT_IS_GONE + pushrequirement: EVEN,0.4864864864864865,444.0,216.0,0.013513513513513487
victory,ONE_OF_EACH,victory: ONE_OF_EACH,0.4871794871794871,2652.0,1292.0,0.012820512820512886
pushrequirement_victory,EQUAL_ANY_THREE,pushrequirement: EQUAL + victory: ANY_THREE,0.4871794871794871,312.0,152.0,0.012820512820512886
push_victory,PUSH_1_ONE_OF_EACH,push: PUSH_1 + victory: ONE_OF_EACH,0.4871794871794871,2652.0,1292.0,0.012820512820512886
pushrequirement_victory,EQUAL_ONE_OF_EACH,pushrequirement: EQUAL + victory: ONE_OF_EACH,0.4880952380952381,336.0,164.0,0.011904761904761918
pushout_pushrequirement,CENTER_REPLACE_MORE_OR_EQUAL,pushout: CENTER_REPLACE + pushrequirement: MORE_OR_EQUAL,0.4880952380952381,504.0,246.0,0.011904761904761918
pushout_pushrequirement,CENTER_REPLACE_MORE,pushout: CENTER_REPLACE + pushrequirement: MORE,0.488235294117647,510.0,249.0,0.01176470588235301
pushrequirement_victory,EVEN_YOUR_COLOR,pushrequirement: EVEN + victory: YOUR_COLOR,0.5106382978723404,282.0,144.0,0.010638297872340385
pushrequirement_victory,MORE_ONE_OF_EACH,pushrequirement: MORE + victory: ONE_OF_EACH,0.5104166666666666,384.0,196.0,0.01041666666666663
movement_pushout,MOVE_EXACTLY_2_CENTER_REPLACE,movement: MOVE_EXACTLY_2 + pushout: CENTER_REPLACE,0.4901315789473684,912.0,447.0,0.009868421052631582
movement_pushrequirement,MOVE_EXACTLY_2_UNEVEN,movement: MOVE_EXACTLY_2 + pushrequirement: UNEVEN,0.4901960784313725,408.0,200.0,0.009803921568627527
pushrequirement_victory,MORE_OR_EQUAL_ONE_OF_EACH,pushrequirement: MORE_OR_EQUAL + victory: ONE_OF_EACH,0.4904761904761904,420.0,206.0,0.009523809523809601
pushout_pushrequirement,CENTER_REPLACE_FEWER_OR_MORE,pushout: CENTER_REPLACE + pushrequirement: FEWER_OR_MORE,0.4909909909909909,444.0,218.0,0.009009009009009084
movement_pushrequirement,MOVE_2_MORE_OR_EQUAL,movement: MOVE_2 + pushrequirement: MORE_OR_EQUAL,0.5089285714285714,336.0,171.0,0.008928571428571397
movement_pushrequirement,MOVE_2_UNEVEN,movement: MOVE_2 + pushrequirement: UNEVEN,0.4911111111111111,450.0,221.0,0.00888888888888889
pushout_pushrequirement,CENTER_REPLACE_EVEN,pushout: CENTER_REPLACE + pushrequirement: EVEN,0.5078431372549019,510.0,259.0,0.007843137254901933
movement_pushrequirement,MOVE_EXACTLY_2_FEWER_OR_MORE,movement: MOVE_EXACTLY_2 + pushrequirement: FEWER_OR_MORE,0.4921875,384.0,189.0,0.0078125
