rule_type,rule_value,combination,player0_win_rate,total_games,player0_wins,polarization
pushrequirement_victory,You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent._Occupy 1 goal of each color.,pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent. + victory: Occupy 1 goal of each color.,0.5714285714285714,42.0,24.0,0.0714285714285714
movement_victory,Move 1 marble by up to 3 spaces in any direction in a straight line._Occupy 3 non-neighbouring goals.,movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + victory: Occupy 3 non-neighbouring goals.,0.5694444444444444,72.0,41.0,0.06944444444444442
pushrequirement,You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.4318181818181818,132.0,57.0,0.06818181818181818
push_pushrequirement,Push a column of marbles by 1 space in any direction_You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,push: Push a column of marbles by 1 space in any direction + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.4318181818181818,132.0,57.0,0.06818181818181818
movement_pushrequirement,Move 1 marble by up to 3 spaces in any direction in a straight line._You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent.,0.4333333333333333,30.0,13.0,0.06666666666666671
movement_pushout,Jump over 1 marble or blocker or move a marble by 1 space in any direction_Pushed out marbles return to the center. Remove any pre-existing marble.,movement: Jump over 1 marble or blocker or move a marble by 1 space in any direction + pushout: Pushed out marbles return to the center. Remove any pre-existing marble.,0.4333333333333333,60.0,26.0,0.06666666666666671
pushrequirement_victory,You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent._Occupy all goals of your color.,pushrequirement: You can push opposing marbles if you use equal marbles. Do not split your column while pushing the opponent. + victory: Occupy all goals of your color.,0.4333333333333333,30.0,13.0,0.06666666666666671
movement_victory,Move 1 marble by up to 3 spaces in any direction in a straight line._Occupy all goals of your color.,movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + victory: Occupy all goals of your color.,0.5625,48.0,27.0,0.0625
pushrequirement_victory,You can push opposing marbles if you use more marbles._Occupy all goals of your color.,pushrequirement: You can push opposing marbles if you use more marbles. + victory: Occupy all goals of your color.,0.4375,48.0,21.0,0.0625
pushout_pushrequirement,"Pushed out marbles return to the center, if it is free. Else they are removed._You can push opposing marbles if you use more marbles.","pushout: Pushed out marbles return to the center, if it is free. Else they are removed. + pushrequirement: You can push opposing marbles if you use more marbles.",0.4375,48.0,21.0,0.0625
pushout_victory,Pushed out marbles return to the center. Remove any pre-existing marble._Occupy 3 non-neighbouring goals.,pushout: Pushed out marbles return to the center. Remove any pre-existing marble. + victory: Occupy 3 non-neighbouring goals.,0.4411764705882353,102.0,45.0,0.05882352941176472
movement_pushout,Move 1 marble by 1 space in any direction._Pushed out marbles are removed from play,movement: Move 1 marble by 1 space in any direction. + pushout: Pushed out marbles are removed from play,0.4411764705882353,102.0,45.0,0.05882352941176472
pushout_victory,Pushed out marbles return to the center. Remove any pre-existing marble._Occupy 1 goal of each color.,pushout: Pushed out marbles return to the center. Remove any pre-existing marble. + victory: Occupy 1 goal of each color.,0.5583333333333333,120.0,67.0,0.05833333333333335
movement_pushrequirement,"Move 1 marble by 1 space in any direction._You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.","movement: Move 1 marble by 1 space in any direction. + pushrequirement: You can push your opposing marbles if you use an uneven number of marbles (1, 3 or 5). Do not split your column while pushing the opponent.",0.5555555555555556,18.0,10.0,0.05555555555555558
pushrequirement_victory,"You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent._Occupy 3 non-neighbouring goals.","pushrequirement: You can push opposing marbles if you use an even number of marbles (2, 4 or 6). Do not split your column while pushing the opponent. + victory: Occupy 3 non-neighbouring goals.",0.4444444444444444,18.0,8.0,0.05555555555555558
movement_pushrequirement,Move 1 marble by 1 space in any direction._You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,movement: Move 1 marble by 1 space in any direction. + pushrequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent.,0.4444444444444444,54.0,24.0,0.05555555555555558
movement_pushrequirement,Move 1 marble by 1 space in any direction._You can push opposing marbles if you use fewer or more marbles.,movement: Move 1 marble by 1 space in any direction. + pushrequirement: You can push opposing marbles if you use fewer or more marbles.,0.4444444444444444,36.0,16.0,0.05555555555555558
movement_pushrequirement,Move 1 marble by up to 3 spaces in any direction in a straight line._You can push opposing marbles if you use more marbles.,movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + pushrequirement: You can push opposing marbles if you use more marbles.,0.5555555555555556,36.0,20.0,0.05555555555555558
pushrequirement_victory,You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent._Occupy 3 non-neighbouring goals.,pushrequirement: You can push opposing marbles if you use fewer or equal marbles. Do not split your column while pushing the opponent. + victory: Occupy 3 non-neighbouring goals.,0.5555555555555556,36.0,20.0,0.05555555555555558
pushrequirement_victory,You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent._Occupy 3 non-neighbouring goals.,pushrequirement: You can push opposing marbles if you use more or equal marbles. Do not split your column while pushing the opponent. + victory: Occupy 3 non-neighbouring goals.,0.5555555555555556,18.0,10.0,0.05555555555555558
movement_pushout,Move 1 marble by up to 3 spaces in any direction in a straight line._Pushed out marbles are removed from play,movement: Move 1 marble by up to 3 spaces in any direction in a straight line. + pushout: Pushed out marbles are removed from play,0.5520833333333334,96.0,53.0,0.05208333333333337
